token	corpus size	all contexts size	frequency	co-frequency	specificity
手放し	35464	12886	6	5	1.62
マイナス	35464	12886	6	5	1.62
もつ	35464	12886	6	5	1.62
生活	35464	12886	10	7	1.59
プレッシャー	35464	12886	8	6	1.58
管理	35464	12886	8	6	1.58
役割	35464	12886	8	6	1.58
ほど	35464	12886	21	12	1.57
中	35464	12886	33	17	1.55
人間	35464	12886	38	19	1.53
経済	35464	12886	19	11	1.53
どう	35464	12886	31	16	1.50
れ	35464	12886	103	44	1.49
希望	35464	12886	51	24	1.49
れる	35464	12886	69	31	1.48
『	35464	12886	34	17	1.44
』	35464	12886	39	19	1.44
子ども	35464	12886	15	9	1.43
org	35464	12886	137	56	1.42
場合	35464	12886	47	22	1.40
与える	35464	12886	20	11	1.38
なかっ	35464	12886	25	13	1.35
な	35464	12886	316	115	1.33
的	35464	12886	132	53	1.33
無駄	35464	12886	3	3	1.32
自体	35464	12886	3	3	1.32
社説	35464	12886	3	3	1.32
=「	35464	12886	3	3	1.32
低い	35464	12886	3	3	1.32
残る	35464	12886	3	3	1.32
ルール	35464	12886	3	3	1.32
軽減	35464	12886	3	3	1.32
カムバック	35464	12886	3	3	1.32
oldid	35464	12886	3	3	1.32
外資	35464	12886	3	3	1.32
規制	35464	12886	3	3	1.32
示さ	35464	12886	3	3	1.32
縮小	35464	12886	3	3	1.32
押し目	35464	12886	3	3	1.32
無意識	35464	12886	3	3	1.32
隠さ	35464	12886	3	3	1.32
うめよ	35464	12886	3	3	1.32
したがって	35464	12886	3	3	1.32
顧問	35464	12886	3	3	1.32
進む	35464	12886	3	3	1.32
成績	35464	12886	3	3	1.32
つつ	35464	12886	3	3	1.32
社員	35464	12886	3	3	1.32
いる	35464	12886	192	74	1.31
言葉	35464	12886	38	18	1.31
一般	35464	12886	9	6	1.30
待つ	35464	12886	9	6	1.30
考える	35464	12886	16	9	1.27
日常	35464	12886	16	9	1.27
特別	35464	12886	16	9	1.27
なんて	35464	12886	7	5	1.27
基づい	35464	12886	7	5	1.27
望む	35464	12886	7	5	1.27
対象	35464	12886	7	5	1.27
業績	35464	12886	7	5	1.27
講座	35464	12886	7	5	1.27
同様	35464	12886	7	5	1.27
られ	35464	12886	36	17	1.27
勝手	35464	12886	5	4	1.26
どういう	35464	12886	5	4	1.26
答え	35464	12886	5	4	1.26
かけ	35464	12886	5	4	1.26
コメント	35464	12886	5	4	1.26
設計	35464	12886	5	4	1.26
全て	35464	12886	5	4	1.26
狙い	35464	12886	5	4	1.26
信念	35464	12886	5	4	1.26
買い	35464	12886	5	4	1.26
ある	35464	12886	141	55	1.26
投資	35464	12886	31	15	1.25
自身	35464	12886	26	13	1.25
考え	35464	12886	40	18	1.17
私	35464	12886	62	26	1.17
大きく	35464	12886	12	7	1.16
他者	35464	12886	12	7	1.16
行為	35464	12886	12	7	1.16
以上	35464	12886	17	9	1.14
社会	35464	12886	17	9	1.14
その	35464	12886	89	35	1.14
側面	35464	12886	10	6	1.10
利下げ	35464	12886	10	6	1.10
職場	35464	12886	10	6	1.10
紹介	35464	12886	15	8	1.08
つまり	35464	12886	15	8	1.08
1	35464	12886	77	30	1.08
に対して	35464	12886	31	14	1.07
wiki	35464	12886	85	31	1.05
種類	35464	12886	8	5	1.04
形成	35464	12886	8	5	1.04
強く	35464	12886	8	5	1.04
そこで	35464	12886	8	5	1.04
－	35464	12886	8	5	1.04
日本	35464	12886	18	9	1.04
目標	35464	12886	18	9	1.04
ただ	35464	12886	13	7	1.02
そこ	35464	12886	13	7	1.02
理解	35464	12886	13	7	1.02
評価	35464	12886	13	7	1.02
成果	35464	12886	13	7	1.02
？	35464	12886	73	26	1.02
通り	35464	12886	16	8	0.98
解説	35464	12886	16	8	0.98
あなた	35464	12886	16	8	0.98
決して	35464	12886	6	4	0.97
章	35464	12886	6	4	0.97
解釈	35464	12886	6	4	0.97
超え	35464	12886	6	4	0.97
〜	35464	12886	6	4	0.97
呼ば	35464	12886	6	4	0.97
不満	35464	12886	6	4	0.97
概念	35464	12886	6	4	0.97
モチベーション	35464	12886	6	4	0.97
彼女	35464	12886	6	4	0.97
とともに	35464	12886	6	4	0.97
本来	35464	12886	6	4	0.97
友人	35464	12886	6	4	0.97
柔軟	35464	12886	6	4	0.97
として	35464	12886	54	19	0.95
くれ	35464	12886	19	9	0.95
しかし	35464	12886	22	10	0.94
成長	35464	12886	34	14	0.93
より	35464	12886	50	18	0.93
理由	35464	12886	14	7	0.91
常に	35464	12886	14	7	0.91
得	35464	12886	14	7	0.91
未来	35464	12886	14	7	0.91
大事	35464	12886	4	3	0.91
いれ	35464	12886	4	3	0.91
示し	35464	12886	4	3	0.91
避ける	35464	12886	4	3	0.91
コツ	35464	12886	4	3	0.91
以下	35464	12886	4	3	0.91
レベル	35464	12886	4	3	0.91
下回る	35464	12886	4	3	0.91
リターン	35464	12886	4	3	0.91
156	35464	12886	4	3	0.91
話者	35464	12886	4	3	0.91
102	35464	12886	4	3	0.91
市況	35464	12886	4	3	0.91
収益	35464	12886	4	3	0.91
扱い	35464	12886	4	3	0.91
上手	35464	12886	4	3	0.91
ロング	35464	12886	4	3	0.91
側	35464	12886	4	3	0.91
忘れ	35464	12886	4	3	0.91
深める	35464	12886	4	3	0.91
自分勝手	35464	12886	4	3	0.91
保っ	35464	12886	4	3	0.91
生む	35464	12886	4	3	0.91
応えよ	35464	12886	4	3	0.91
協力	35464	12886	4	3	0.91
今回	35464	12886	17	8	0.90
説明	35464	12886	20	9	0.89
それぞれ	35464	12886	9	5	0.88
バランス	35464	12886	9	5	0.88
現実	35464	12886	9	5	0.88
認識	35464	12886	9	5	0.88
見る	35464	12886	9	5	0.88
家族	35464	12886	9	5	0.88
進ま	35464	12886	2	2	0.88
決め込ん	35464	12886	2	2	0.88
行き過ぎ	35464	12886	2	2	0.88
一度	35464	12886	2	2	0.88
「『～	35464	12886	2	2	0.88
『～	35464	12886	2	2	0.88
t	35464	12886	2	2	0.88
Bias	35464	12886	2	2	0.88
指し	35464	12886	2	2	0.88
あ	35464	12886	2	2	0.88
抱い	35464	12886	2	2	0.88
徹底	35464	12886	2	2	0.88
６つ	35464	12886	2	2	0.88
料理	35464	12886	2	2	0.88
変わり	35464	12886	2	2	0.88
そういった	35464	12886	2	2	0.88
お話	35464	12886	2	2	0.88
B	35464	12886	2	2	0.88
決まる	35464	12886	2	2	0.88
せよ	35464	12886	2	2	0.88
指す	35464	12886	2	2	0.88
mailto	35464	12886	2	2	0.88
subject	35464	12886	2	2	0.88
body	35464	12886	2	2	0.88
楽天	35464	12886	2	2	0.88
証券	35464	12886	2	2	0.88
自ら	35464	12886	2	2	0.88
つくる	35464	12886	2	2	0.88
容れる	35464	12886	2	2	0.88
｜	35464	12886	2	2	0.88
愛し	35464	12886	2	2	0.88
崩れ	35464	12886	2	2	0.88
アルバム	35464	12886	2	2	0.88
展望	35464	12886	2	2	0.88
焦点	35464	12886	2	2	0.88
せれ	35464	12886	2	2	0.88
計算	35464	12886	2	2	0.88
主観	35464	12886	2	2	0.88
効用	35464	12886	2	2	0.88
測定	35464	12886	2	2	0.88
アカウント	35464	12886	2	2	0.88
引用	35464	12886	2	2	0.88
見込む	35464	12886	2	2	0.88
訪問	35464	12886	2	2	0.88
派遣	35464	12886	2	2	0.88
有意義	35464	12886	2	2	0.88
高まる	35464	12886	2	2	0.88
愛さ	35464	12886	2	2	0.88
～｜	35464	12886	2	2	0.88
ってな	35464	12886	2	2	0.88
越える	35464	12886	2	2	0.88
一切	35464	12886	2	2	0.88
必ず	35464	12886	2	2	0.88
欲しかっ	35464	12886	2	2	0.88
実体験	35464	12886	2	2	0.88
きっかけ	35464	12886	2	2	0.88
果たす	35464	12886	2	2	0.88
歴史	35464	12886	2	2	0.88
分かり	35464	12886	2	2	0.88
あらかじめ	35464	12886	2	2	0.88
向かう	35464	12886	2	2	0.88
果たし	35464	12886	2	2	0.88
互いに	35464	12886	2	2	0.88
動機	35464	12886	2	2	0.88
伴い	35464	12886	2	2	0.88
新入	35464	12886	2	2	0.88
要因	35464	12886	12	6	0.85
一方	35464	12886	21	9	0.84
表現	35464	12886	18	8	0.84
感情	35464	12886	22	9	0.81
人生	35464	12886	26	10	0.81
しまい	35464	12886	7	4	0.80
項目	35464	12886	7	4	0.80
周り	35464	12886	7	4	0.80
最後	35464	12886	7	4	0.80
反応	35464	12886	7	4	0.80
原因	35464	12886	7	4	0.80
OECD	35464	12886	7	4	0.80
加盟	35464	12886	7	4	0.80
差	35464	12886	7	4	0.80
まず	35464	12886	7	4	0.80
違い	35464	12886	19	8	0.80
関連	35464	12886	19	8	0.80
たら	35464	12886	25	9	0.78
よく	35464	12886	25	9	0.78
note	35464	12886	16	7	0.78
リスク	35464	12886	16	7	0.78
楽しみ	35464	12886	16	7	0.78
せ	35464	12886	24	9	0.78
大切	35464	12886	24	9	0.78
のに	35464	12886	10	5	0.78
大きな	35464	12886	10	5	0.78
もちろん	35464	12886	10	5	0.78
上	35464	12886	20	8	0.77
ご	35464	12886	23	8	0.77
必要	35464	12886	21	8	0.76
高い	35464	12886	21	8	0.76
ストレス	35464	12886	22	8	0.76
あっ	35464	12886	21	7	0.76
：	35464	12886	21	7	0.76
高	35464	12886	21	7	0.76
努力	35464	12886	17	7	0.75
一つ	35464	12886	20	7	0.74
くれる	35464	12886	20	7	0.74
】	35464	12886	18	7	0.73
意識	35464	12886	18	7	0.73
30	35464	12886	14	6	0.73
とき	35464	12886	19	7	0.73
状況	35464	12886	19	7	0.73
あれ	35464	12886	18	6	0.72
書い	35464	12886	18	6	0.72
選択	35464	12886	5	3	0.71
傷つい	35464	12886	5	3	0.71
どれ	35464	12886	5	3	0.71
言い回し	35464	12886	5	3	0.71
十分	35464	12886	5	3	0.71
パフォーマンス	35464	12886	5	3	0.71
活躍	35464	12886	5	3	0.71
正し	35464	12886	5	3	0.71
残念	35464	12886	5	3	0.71
理論	35464	12886	5	3	0.71
続伸	35464	12886	5	3	0.71
下落	35464	12886	5	3	0.71
関税	35464	12886	5	3	0.71
キミ	35464	12886	5	3	0.71
動い	35464	12886	5	3	0.71
テーマ	35464	12886	5	3	0.71
入ら	35464	12886	5	3	0.71
なか	35464	12886	5	3	0.71
活用	35464	12886	5	3	0.71
豊か	35464	12886	5	3	0.71
深く	35464	12886	5	3	0.71
さまざま	35464	12886	5	3	0.71
ギャップ	35464	12886	5	3	0.71
変化	35464	12886	5	3	0.71
入れ	35464	12886	5	3	0.71
達	35464	12886	15	6	0.70
経験	35464	12886	17	6	0.70
信頼	35464	12886	17	6	0.70
出	35464	12886	15	5	0.68
実は	35464	12886	12	5	0.67
自信	35464	12886	12	5	0.67
持ち	35464	12886	12	5	0.67
与え	35464	12886	14	5	0.66
特に	35464	12886	14	5	0.66
状態	35464	12886	14	5	0.66
20	35464	12886	14	5	0.66
同じ	35464	12886	13	5	0.66
いう	35464	12886	9	4	0.64
もう	35464	12886	9	4	0.64
なぜ	35464	12886	9	4	0.64
際	35464	12886	9	4	0.64
否定	35464	12886	9	4	0.64
だから	35464	12886	9	4	0.64
幸福	35464	12886	9	4	0.64
さらに	35464	12886	9	4	0.64
具体	35464	12886	12	4	0.63
28	35464	12886	12	4	0.63
29	35464	12886	12	4	0.63
続ける	35464	12886	12	4	0.63
といった	35464	12886	12	4	0.63
イメージ	35464	12886	12	4	0.63
今	35464	12886	12	4	0.63
個人	35464	12886	12	4	0.63
18	35464	12886	12	4	0.63
しよ	35464	12886	10	4	0.61
実際	35464	12886	10	4	0.61
ながら	35464	12886	10	4	0.61
言い	35464	12886	10	4	0.61
君	35464	12886	10	4	0.61
責任	35464	12886	10	4	0.61
話	35464	12886	11	4	0.61
少し	35464	12886	11	4	0.61
23	35464	12886	11	4	0.61
31	35464	12886	11	4	0.61
設定	35464	12886	11	4	0.61
または	35464	12886	11	4	0.61
すべて	35464	12886	11	4	0.61
表す	35464	12886	10	3	0.61
力	35464	12886	10	3	0.61
url	35464	12886	10	3	0.61
salon	35464	12886	10	3	0.61
24	35464	12886	10	3	0.61
32	35464	12886	10	3	0.61
米国	35464	12886	10	3	0.61
oosakinaoto	35464	12886	10	3	0.61
entry	35464	12886	10	3	0.61
二つ	35464	12886	10	3	0.61
じゃ	35464	12886	6	3	0.61
祈り	35464	12886	6	3	0.61
成就	35464	12886	6	3	0.61
やすく	35464	12886	6	3	0.61
100	35464	12886	6	3	0.61
高く	35464	12886	6	3	0.61
欲求	35464	12886	6	3	0.61
さて	35464	12886	6	3	0.61
研究	35464	12886	6	3	0.61
指摘	35464	12886	6	3	0.61
頑張っ	35464	12886	6	3	0.61
サービス	35464	12886	6	3	0.61
しか	35464	12886	6	3	0.61
コラム	35464	12886	6	3	0.61
明確	35464	12886	6	3	0.61
ラク	35464	12886	3	2	0.60
やめ	35464	12886	3	2	0.60
どうせ	35464	12886	3	2	0.60
嬉しく	35464	12886	3	2	0.60
悪く	35464	12886	3	2	0.60
――	35464	12886	3	2	0.60
取引	35464	12886	3	2	0.60
Expectation	35464	12886	3	2	0.60
沿っ	35464	12886	3	2	0.60
食事	35464	12886	3	2	0.60
ジョシュア	35464	12886	3	2	0.60
イベント	35464	12886	3	2	0.60
自然	35464	12886	3	2	0.60
提供	35464	12886	3	2	0.60
枠	35464	12886	3	2	0.60
質	35464	12886	3	2	0.60
起こり	35464	12886	3	2	0.60
157	35464	12886	3	2	0.60
慣れ	35464	12886	3	2	0.60
何らかの	35464	12886	3	2	0.60
158	35464	12886	3	2	0.60
２つ	35464	12886	3	2	0.60
生み出し	35464	12886	3	2	0.60
追い風	35464	12886	3	2	0.60
ＰＥＲ	35464	12886	3	2	0.60
オペラ	35464	12886	3	2	0.60
薬	35464	12886	3	2	0.60
事実	35464	12886	3	2	0.60
168	35464	12886	3	2	0.60
history	35464	12886	3	2	0.60
page	35464	12886	3	2	0.60
延期	35464	12886	3	2	0.60
次回	35464	12886	3	2	0.60
カウンセリング	35464	12886	3	2	0.60
エゴ	35464	12886	3	2	0.60
前回	35464	12886	3	2	0.60
できれ	35464	12886	3	2	0.60
使っ	35464	12886	3	2	0.60
入る	35464	12886	3	2	0.60
隠れ	35464	12886	3	2	0.60
生き方	35464	12886	3	2	0.60
あくまで	35464	12886	3	2	0.60
不合理	35464	12886	3	2	0.60
招く	35464	12886	3	2	0.60
基本	35464	12886	3	2	0.60
欠か	35464	12886	3	2	0.60
良好	35464	12886	3	2	0.60
集団	35464	12886	3	2	0.60
寄せる	35464	12886	3	2	0.60
約束	35464	12886	3	2	0.60
合い	35464	12886	3	2	0.60
見極める	35464	12886	3	2	0.60
都合	35464	12886	3	2	0.60
どちら	35464	12886	9	3	0.57
しまっ	35464	12886	9	3	0.57
人々	35464	12886	9	3	0.57
求め	35464	12886	9	3	0.57
内	35464	12886	9	3	0.57
欲しい	35464	12886	9	3	0.57
つ	35464	12886	9	3	0.57
による	35464	12886	9	3	0.57
psychology	35464	12886	9	3	0.57
目	35464	12886	9	3	0.57
情報	35464	12886	7	3	0.56
演奏	35464	12886	7	3	0.56
チーム	35464	12886	7	3	0.56
プロセス	35464	12886	7	3	0.56
変え	35464	12886	7	3	0.56
ギャンブル	35464	12886	7	3	0.56
観	35464	12886	7	3	0.56
向上	35464	12886	7	3	0.56
親	35464	12886	7	3	0.56
起き	35464	12886	8	3	0.55
思考	35464	12886	8	3	0.55
身	35464	12886	8	3	0.55
不安	35464	12886	8	3	0.55
AI	35464	12886	8	3	0.55
時期	35464	12886	8	3	0.55
働き	35464	12886	8	3	0.55
daily	35464	12886	8	3	0.55
完全	35464	12886	8	3	0.55
存在	35464	12886	8	3	0.55
間	35464	12886	8	3	0.55
注意	35464	12886	8	3	0.55
言っ	35464	12886	7	2	0.54
ところ	35464	12886	7	2	0.54
http	35464	12886	7	2	0.54
形	35464	12886	7	2	0.54
考え方	35464	12886	7	2	0.54
長期	35464	12886	7	2	0.54
どんな	35464	12886	7	2	0.54
顧客	35464	12886	7	2	0.54
一見	35464	12886	4	2	0.49
絶対	35464	12886	4	2	0.49
全部	35464	12886	4	2	0.49
思い通り	35464	12886	4	2	0.49
関心	35464	12886	4	2	0.49
繋がる	35464	12886	4	2	0.49
場	35464	12886	4	2	0.49
たとえ	35464	12886	4	2	0.49
後悔	35464	12886	4	2	0.49
出来る	35464	12886	4	2	0.49
事柄	35464	12886	4	2	0.49
どんどん	35464	12886	4	2	0.49
こうした	35464	12886	4	2	0.49
u	35464	12886	4	2	0.49
事前	35464	12886	4	2	0.49
117	35464	12886	4	2	0.49
クオリティ	35464	12886	4	2	0.49
ばかり	35464	12886	4	2	0.49
そうした	35464	12886	4	2	0.49
154	35464	12886	4	2	0.49
用語	35464	12886	4	2	0.49
需要	35464	12886	4	2	0.49
生産	35464	12886	4	2	0.49
物価	35464	12886	4	2	0.49
文章	35464	12886	4	2	0.49
予期	35464	12886	4	2	0.49
近い	35464	12886	4	2	0.49
何より	35464	12886	4	2	0.49
女性	35464	12886	4	2	0.49
生じる	35464	12886	4	2	0.49
受け	35464	12886	4	2	0.49
77	35464	12886	4	2	0.49
79	35464	12886	4	2	0.49
当て	35464	12886	4	2	0.49
おり	35464	12886	4	2	0.49
104	35464	12886	4	2	0.49
教育	35464	12886	4	2	0.49
160	35464	12886	4	2	0.49
ログイン	35464	12886	4	2	0.49
98	35464	12886	4	2	0.49
中国	35464	12886	4	2	0.49
FRB	35464	12886	4	2	0.49
3239	35464	12886	4	2	0.49
書き	35464	12886	4	2	0.49
願い	35464	12886	4	2	0.49
犠牲	35464	12886	4	2	0.49
期限	35464	12886	4	2	0.49
時に	35464	12886	4	2	0.49
円滑	35464	12886	4	2	0.49
非常	35464	12886	4	2	0.49
学校	35464	12886	4	2	0.49
もたらす	35464	12886	4	2	0.49
向かっ	35464	12886	4	2	0.49
sample	35464	12886	4	2	0.49
入っ	35464	12886	6	2	0.49
部分	35464	12886	6	2	0.49
傾向	35464	12886	6	2	0.49
傷つく	35464	12886	6	2	0.49
保つ	35464	12886	6	2	0.49
願う	35464	12886	6	2	0.49
28765	35464	12886	6	2	0.49
新しい	35464	12886	6	2	0.49
ケース	35464	12886	6	2	0.49
変わる	35464	12886	6	2	0.49
最近	35464	12886	6	2	0.49
スキル	35464	12886	6	2	0.49
文脈	35464	12886	6	2	0.49
本	35464	12886	6	2	0.49
良く	35464	12886	6	2	0.49
みよ	35464	12886	6	2	0.49
Ａ	35464	12886	6	2	0.49
論	35464	12886	6	2	0.49
英語	35464	12886	6	2	0.49
使用	35464	12886	6	2	0.49
作成	35464	12886	6	2	0.49
ブルームバーグ	35464	12886	6	2	0.49
幸せ	35464	12886	6	2	0.49
感覚	35464	12886	6	2	0.49
はず	35464	12886	6	2	0.49
17	35464	12886	6	2	0.49
生まれ	35464	12886	6	2	0.49
今日	35464	12886	6	2	0.49
文	35464	12886	6	2	0.49
いま	35464	12886	6	2	0.49
保険	35464	12886	6	2	0.49
高める	35464	12886	6	2	0.49
コミュニケーション	35464	12886	6	2	0.49
メンバー	35464	12886	6	2	0.49
出来事	35464	12886	6	2	0.49
行う	35464	12886	6	2	0.49
知ら	35464	12886	6	2	0.49
いけ	35464	12886	5	2	0.47
毎日	35464	12886	5	2	0.47
作用	35464	12886	5	2	0.47
合わせ	35464	12886	5	2	0.47
ニュアンス	35464	12886	5	2	0.47
恋愛	35464	12886	5	2	0.47
作る	35464	12886	5	2	0.47
つける	35464	12886	5	2	0.47
Ｉ	35464	12886	5	2	0.47
実行	35464	12886	5	2	0.47
リンク	35464	12886	5	2	0.47
redlink	35464	12886	5	2	0.47
更新	35464	12886	5	2	0.47
99	35464	12886	5	2	0.47
とも	35464	12886	5	2	0.47
どうして	35464	12886	5	2	0.47
大人	35464	12886	5	2	0.47
やり方	35464	12886	5	2	0.47
うち	35464	12886	5	2	0.47
世界	35464	12886	5	2	0.47
逆	35464	12886	5	2	0.47
あまり	35464	12886	5	2	0.47
訳	35464	12886	5	2	0.47
築く	35464	12886	5	2	0.47
場面	35464	12886	5	2	0.47
みる	35464	12886	5	2	0.47
燃える	35464	12886	1	1	0.44
ややこしい	35464	12886	1	1	0.44
受動	35464	12886	1	1	0.44
反動	35464	12886	1	1	0.44
向ける	35464	12886	1	1	0.44
ひどい	35464	12886	1	1	0.44
こっち	35464	12886	1	1	0.44
嫌い	35464	12886	1	1	0.44
つい	35464	12886	1	1	0.44
...」	35464	12886	1	1	0.44
しも	35464	12886	1	1	0.44
やるせない	35464	12886	1	1	0.44
そのもの	35464	12886	1	1	0.44
ありのまま	35464	12886	1	1	0.44
取れ	35464	12886	1	1	0.44
何事	35464	12886	1	1	0.44
しのぎ	35464	12886	1	1	0.44
落胆	35464	12886	1	1	0.44
落ち込ん	35464	12886	1	1	0.44
GOOD	35464	12886	1	1	0.44
おけ	35464	12886	1	1	0.44
伺い	35464	12886	1	1	0.44
令和	35464	12886	1	1	0.44
新聞	35464	12886	1	1	0.44
省略	35464	12886	1	1	0.44
どうも	35464	12886	1	1	0.44
なじま	35464	12886	1	1	0.44
さらなる	35464	12886	1	1	0.44
躍進	35464	12886	1	1	0.44
一層	35464	12886	1	1	0.44
大統領	35464	12886	1	1	0.44
奮起	35464	12886	1	1	0.44
いくつ	35464	12886	1	1	0.44
ツイッター	35464	12886	1	1	0.44
明言	35464	12886	1	1	0.44
ためらう	35464	12886	1	1	0.44
嫌がら	35464	12886	1	1	0.44
書き手	35464	12886	1	1	0.44
本社	35464	12886	1	1	0.44
倍	35464	12886	1	1	0.44
直し	35464	12886	1	1	0.44
祈る	35464	12886	1	1	0.44
先入観	35464	12886	1	1	0.44
現象	35464	12886	1	1	0.44
認知	35464	12886	1	1	0.44
歪める	35464	12886	1	1	0.44
ux	35464	12886	1	1	0.44
対し	35464	12886	1	1	0.44
サービ	35464	12886	1	1	0.44
ト	35464	12886	1	1	0.44
会場	35464	12886	1	1	0.44
観客	35464	12886	1	1	0.44
尽きる	35464	12886	1	1	0.44
らしい	35464	12886	1	1	0.44
ウワサ	35464	12886	1	1	0.44
まわし	35464	12886	1	1	0.44
ステージ	35464	12886	1	1	0.44
極限	35464	12886	1	1	0.44
ゼロ	35464	12886	1	1	0.44
近づけ	35464	12886	1	1	0.44
凄い	35464	12886	1	1	0.44
見れる	35464	12886	1	1	0.44
位置付け	35464	12886	1	1	0.44
超えろ	35464	12886	1	1	0.44
広辞苑	35464	12886	1	1	0.44
引く	35464	12886	1	1	0.44
速	35464	12886	1	1	0.44
旨	35464	12886	1	1	0.44
スピード・クオリティ	35464	12886	1	1	0.44
納品	35464	12886	1	1	0.44
依頼	35464	12886	1	1	0.44
定め	35464	12886	1	1	0.44
集約	35464	12886	1	1	0.44
流行っ	35464	12886	1	1	0.44
更に	35464	12886	1	1	0.44
いつか	35464	12886	1	1	0.44
ギリギリ	35464	12886	1	1	0.44
ライン	35464	12886	1	1	0.44
序盤	35464	12886	1	1	0.44
納める	35464	12886	1	1	0.44
上げ	35464	12886	1	1	0.44
見据え	35464	12886	1	1	0.44
ホンネ	35464	12886	1	1	0.44
教室	35464	12886	1	1	0.44
マクロ	35464	12886	1	1	0.44
馴染み	35464	12886	1	1	0.44
スポーツファン	35464	12886	1	1	0.44
我が	35464	12886	1	1	0.44
党	35464	12886	1	1	0.44
