token	corpus size	all contexts size	frequency	co-frequency	specificity
しまっ	22837	6874	1	1	0.52
›「	22837	6874	1	1	0.52
いける	22837	6874	1	1	0.52
もたらし	22837	6874	1	1	0.52
理解	22837	6874	1	1	0.52
組める	22837	6874	1	1	0.52
夕食	22837	6874	1	1	0.52
申し込み	22837	6874	1	1	0.52
原則	22837	6874	1	1	0.52
泊	22837	6874	1	1	0.52
完成	22837	6874	1	1	0.52
広がり	22837	6874	1	1	0.52
魅力	22837	6874	1	1	0.52
ゆく	22837	6874	1	1	0.52
オリジナル	22837	6874	1	1	0.52
コーラス	22837	6874	1	1	0.52
カラオケ	22837	6874	1	1	0.52
使い	22837	6874	1	1	0.52
両者	22837	6874	1	1	0.52
レセプト	22837	6874	1	1	0.52
全体	22837	6874	1	1	0.52
Top	22837	6874	1	1	0.52
～」	22837	6874	1	1	0.52
題し	22837	6874	1	1	0.52
超える	22837	6874	1	1	0.52
お越し	22837	6874	1	1	0.52
くださる	22837	6874	1	1	0.52
シーズン	22837	6874	1	1	0.52
美しい	22837	6874	1	1	0.52
贈ろ	22837	6874	1	1	0.52
迎える	22837	6874	1	1	0.52
近づい	22837	6874	1	1	0.52
知る	22837	6874	1	1	0.52
真摯	22837	6874	1	1	0.52
語っ	22837	6874	1	1	0.52
女の子	22837	6874	1	1	0.52
照らす	22837	6874	1	1	0.52
カタチ	22837	6874	1	1	0.52
軍拡	22837	6874	1	1	0.52
突き進む	22837	6874	1	1	0.52
対決	22837	6874	1	1	0.52
もたらす	22837	6874	1	1	0.52
モビリティ	22837	6874	1	1	0.52
一助	22837	6874	1	1	0.52
秘め	22837	6874	1	1	0.52
取り戻し	22837	6874	1	1	0.52
土	22837	6874	5	2	0.51
くれ	22837	6874	5	2	0.51
達成	22837	6874	5	2	0.51
出	22837	6874	5	2	0.51
たら	22837	6874	5	2	0.51
KB	22837	6874	5	2	0.51
千	22837	6874	5	2	0.51
制度	22837	6874	5	2	0.51
企画	22837	6874	5	2	0.51
87	22837	6874	5	2	0.51
キリスト	22837	6874	5	2	0.51
増	22837	6874	5	2	0.51
比	22837	6874	5	2	0.51
広がる	22837	6874	5	2	0.51
学生	22837	6874	5	2	0.51
力	22837	6874	5	2	0.51
羽生	22837	6874	5	2	0.51
結	22837	6874	5	2	0.51
弦	22837	6874	5	2	0.51
現場	22837	6874	5	2	0.51
使用	22837	6874	5	2	0.51
あえて	22837	6874	5	2	0.51
自立	22837	6874	5	2	0.51
いき	22837	6874	7	2	0.50
どこ	22837	6874	7	2	0.50
ら	22837	6874	7	2	0.50
出し	22837	6874	7	2	0.50
次	22837	6874	7	2	0.50
最後	22837	6874	7	2	0.50
福祉	22837	6874	7	2	0.50
１月	22837	6874	7	2	0.50
84	22837	6874	7	2	0.50
つ	22837	6874	7	2	0.50
一つ	22837	6874	7	2	0.50
ませ	22837	6874	7	2	0.50
人々	22837	6874	7	2	0.50
陵	22837	6874	7	2	0.50
shimotsuke	22837	6874	7	2	0.50
例	22837	6874	7	2	0.50
23	22837	6874	7	2	0.50
無理	22837	6874	6	2	0.49
よく	22837	6874	6	2	0.49
取	22837	6874	6	2	0.49
だっ	22837	6874	6	2	0.49
本	22837	6874	6	2	0.49
７	22837	6874	6	2	0.49
MB	22837	6874	6	2	0.49
なか	22837	6874	6	2	0.49
内容	22837	6874	6	2	0.49
３	22837	6874	6	2	0.49
解説	22837	6874	6	2	0.49
英語	22837	6874	6	2	0.49
前向き	22837	6874	6	2	0.49
非	22837	6874	6	2	0.49
88	22837	6874	6	2	0.49
私立	22837	6874	6	2	0.49
24	22837	6874	6	2	0.49
小学生	22837	6874	6	2	0.49
肯定	22837	6874	6	2	0.49
対象	22837	6874	6	2	0.49
しっかり	22837	6874	6	2	0.49
なけれ	22837	6874	6	2	0.49
まずは	22837	6874	5	1	0.44
大きな	22837	6874	5	1	0.44
観	22837	6874	5	1	0.44
計画	22837	6874	5	1	0.44
少し	22837	6874	5	1	0.44
る	22837	6874	5	1	0.44
もと	22837	6874	5	1	0.44
※	22837	6874	5	1	0.44
制限	22837	6874	5	1	0.44
三春	22837	6874	5	1	0.44
制作	22837	6874	5	1	0.44
86	22837	6874	5	1	0.44
134	22837	6874	5	1	0.44
141	22837	6874	5	1	0.44
項目	22837	6874	5	1	0.44
41	22837	6874	5	1	0.44
43	22837	6874	5	1	0.44
67	22837	6874	5	1	0.44
もっと	22837	6874	5	1	0.44
Q	22837	6874	5	1	0.44
Identity	22837	6874	5	1	0.44
大丈夫	22837	6874	5	1	0.44
＝	22837	6874	5	1	0.44
40	22837	6874	5	1	0.44
22	22837	6874	5	1	0.44
暮らし	22837	6874	5	1	0.44
34	22837	6874	5	1	0.44
90	22837	6874	5	1	0.44
クリスマスチャリティーコンサート	22837	6874	5	1	0.44
食糧	22837	6874	5	1	0.44
終了	22837	6874	5	1	0.44
1000	22837	6874	5	1	0.44
紛争	22837	6874	5	1	0.44
たくさん	22837	6874	4	1	0.39
キーワード	22837	6874	4	1	0.39
あまり	22837	6874	4	1	0.39
楽観	22837	6874	4	1	0.39
一部	22837	6874	4	1	0.39
持ち	22837	6874	4	1	0.39
６	22837	6874	4	1	0.39
500	22837	6874	4	1	0.39
起き	22837	6874	4	1	0.39
人数	22837	6874	4	1	0.39
づくり	22837	6874	4	1	0.39
夢	22837	6874	4	1	0.39
開け	22837	6874	4	1	0.39
83	22837	6874	4	1	0.39
ご覧	22837	6874	4	1	0.39
133	22837	6874	4	1	0.39
146	22837	6874	4	1	0.39
Faith	22837	6874	4	1	0.39
Charity	22837	6874	4	1	0.39
脚注	22837	6874	4	1	0.39
97	22837	6874	4	1	0.39
112	22837	6874	4	1	0.39
100	22837	6874	4	1	0.39
149	22837	6874	4	1	0.39
Special	22837	6874	4	1	0.39
48	22837	6874	4	1	0.39
もっとも	22837	6874	4	1	0.39
65	22837	6874	4	1	0.39
68	22837	6874	4	1	0.39
教え	22837	6874	4	1	0.39
ほか	22837	6874	4	1	0.39
●	22837	6874	4	1	0.39
表現	22837	6874	4	1	0.39
デザイン	22837	6874	4	1	0.39
感覚	22837	6874	4	1	0.39
選択	22837	6874	4	1	0.39
朝日	22837	6874	4	1	0.39
■	22837	6874	4	1	0.39
色	22837	6874	4	1	0.39
都	22837	6874	4	1	0.39
連載	22837	6874	4	1	0.39
16	22837	6874	4	1	0.39
詩人	22837	6874	4	1	0.39
いただい	22837	6874	4	1	0.39
たずね	22837	6874	4	1	0.39
多い	22837	6874	4	1	0.39
HOME	22837	6874	4	1	0.39
サイト	22837	6874	4	1	0.39
局	22837	6874	4	1	0.39
保健	22837	6874	4	1	0.39
課	22837	6874	4	1	0.39
厚生	22837	6874	4	1	0.39
労働省	22837	6874	4	1	0.39
方法	22837	6874	4	1	0.39
分野	22837	6874	4	1	0.39
訪問	22837	6874	4	1	0.39
ボタン	22837	6874	4	1	0.39
寄せ	22837	6874	4	1	0.39
届け	22837	6874	4	1	0.39
一緒	22837	6874	4	1	0.39
report	22837	6874	4	1	0.39
向け	22837	6874	4	1	0.39
下記	22837	6874	2	1	0.38
下部	22837	6874	2	1	0.38
